YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2020,1,LA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),900
2020,1,LA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2020,1,LA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),71285
2020,1,LA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),1223038
2020,1,LA,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2020,1,LA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),809624
2020,1,LA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2020,1,LA,"Electric Generators, Electric Utilities",Coal (Short Tons),109650
2020,1,LA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),2.27E+07
2020,1,LA,"Electric Generators, Electric Utilities",Petroleum (Barrels),529185
2020,7,WV,Total Electric Power Industry,Coal (Short Tons),2465966
2020,1,MA,Total Electric Power Industry,Natural Gas (Mcf),1.07E+07
2020,1,MA,Total Electric Power Industry,Petroleum (Barrels),11248
2020,1,MA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2020,1,MA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),121712
2020,1,MA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),75
2020,1,MA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),257069
2020,1,MA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),563
2020,1,MA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),889432
2020,1,MA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2020,1,MA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),9384574
2020,1,MA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),9607
2020,1,MA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),19873
2020,1,MA,"Electric Generators, Electric Utilities",Petroleum (Barrels),1003
2020,8,WV,Total Electric Power Industry,Coal (Short Tons),2334760
2020,1,MD,Total Electric Power Industry,Natural Gas (Mcf),6953375
2020,1,MD,Total Electric Power Industry,Petroleum (Barrels),21190
2020,1,MD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),16792
2020,1,MD,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2020,1,MD,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2020,1,MD,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),783935
2020,1,MD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),44
2020,1,MD,"Combined Heat and Power, Electric Power",Coal (Short Tons),37790
2020,1,MD,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),321165
2020,1,MD,"Combined Heat and Power, Electric Power",Petroleum (Barrels),110
2020,1,MD,"Electric Generators, Independent Power Producers",Coal (Short Tons),36357
2020,1,MD,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),4741173
2020,1,MD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),20770
2020,1,MD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),1090310
2020,1,MD,"Electric Generators, Electric Utilities",Petroleum (Barrels),266
2020,9,WV,Total Electric Power Industry,Coal (Short Tons),1674574
2020,1,ME,Total Electric Power Industry,Natural Gas (Mcf),831633
2020,1,ME,Total Electric Power Industry,Petroleum (Barrels),7686
2020,1,ME,"Combined Heat and Power, Industrial Power",Coal (Short Tons),190
2020,1,ME,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),193589
2020,1,ME,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),639
2020,1,ME,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),13149
2020,1,ME,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),610
2020,1,ME,"Combined Heat and Power, Electric Power",Coal (Short Tons),1576
2020,1,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),932
2020,1,ME,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2020,1,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),624895
2020,1,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),5505
2020,10,WV,Total Electric Power Industry,Coal (Short Tons),1384075
2020,1,MI,Total Electric Power Industry,Natural Gas (Mcf),2.62E+07
2020,1,MI,Total Electric Power Industry,Other Gases (Billion Btu),688
2020,1,MI,Total Electric Power Industry,Petroleum (Barrels),212233
2020,1,MI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),15
2020,1,MI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),333893
2020,1,MI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),33762
2020,1,MI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2020,1,MI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),285666
2020,1,MI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),48
2020,1,MI,"Combined Heat and Power, Electric Power",Coal (Short Tons),17908
2020,1,MI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),1.01E+07
2020,1,MI,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),675
2020,1,MI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2020,1,MI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),4498530
2020,1,MI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2020,1,MI,"Electric Generators, Electric Utilities",Coal (Short Tons),1513793
2020,1,MI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),1.09E+07
2020,1,MI,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),13
2020,1,MI,"Electric Generators, Electric Utilities",Petroleum (Barrels),178423
2020,11,WV,Total Electric Power Industry,Coal (Short Tons),1446104
2020,1,MN,Total Electric Power Industry,Natural Gas (Mcf),8620636
2020,1,MN,Total Electric Power Industry,Petroleum (Barrels),7861
2020,1,MN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),4175
2020,1,MN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),53275
2020,1,MN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),39
2020,1,MN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),32
2020,1,MN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),46247
2020,1,MN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),69
2020,1,MN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),521664
2020,1,MN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),645
2020,1,MN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),1339149
2020,1,MN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),116
2020,1,MN,"Electric Generators, Electric Utilities",Coal (Short Tons),785572
2020,1,MN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),6660301
2020,1,MN,"Electric Generators, Electric Utilities",Petroleum (Barrels),6992
2020,12,WV,Total Electric Power Industry,Coal (Short Tons),1973724
2020,1,MO,Total Electric Power Industry,Natural Gas (Mcf),5649402
2020,1,MO,Total Electric Power Industry,Petroleum (Barrels),15452
2020,1,MO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2020,1,MO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),14852
2020,1,MO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2020,1,MO,"Combined Heat and Power, Commercial Power",Coal (Short Tons),237
2020,1,MO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),52973
2020,1,MO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),1
2020,1,MO,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2020,1,MO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),16807
2020,1,MO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2020,1,MO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),2344914
2020,1,MO,"Electric Generators, Electric Utilities",Coal (Short Tons),2796420
2020,1,MO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),3219856
2020,1,MO,"Electric Generators, Electric Utilities",Petroleum (Barrels),15451
2020,1,WI,Total Electric Power Industry,Coal (Short Tons),1192012
2020,1,MS,Total Electric Power Industry,Natural Gas (Mcf),3.10E+07
2020,1,MS,Total Electric Power Industry,Petroleum (Barrels),1458
